county,num_systems,pop_served,failing_systems,at_risk_systems,potentially_at_risk_systems,not_assessed_systems,not_at_risk_systems
Alameda,15,2227330,0,1,0,5,9
Alpine,7,8906,1,1,1,1,3
Amador,21,37794,2,3,4,0,12
Butte,50,199179,5,7,6,2,30
Calaveras,21,51149,0,5,7,1,8
Colusa,9,17513,2,1,0,0,6
Contra Costa,41,561301,4,4,2,4,27
Del Norte,18,25861,2,4,2,0,10
El Dorado,23,262474,1,7,4,2,9
Fresno,132,998596,30,39,25,3,35
Glenn,19,19967,0,5,4,0,10
Humboldt,51,122629,3,6,10,1,31
Imperial,34,174002,6,13,6,0,9
Inyo,48,16855,5,8,2,4,29
Kern,183,981594,55,52,28,4,44
Kings,18,152457,3,4,6,0,5
Lake,44,66416,5,9,12,0,18
Lassen,20,20052,0,3,7,0,10
Los Angeles,202,10060132,12,43,23,24,100
Madera,85,140981,27,15,13,4,26
Marin,19,277879,0,2,1,2,14
Mariposa,17,7537,1,5,1,1,9
Mendocino,55,63549,5,7,8,2,33
Merced,39,244364,9,15,6,1,8
Modoc,6,4975,0,1,0,0,5
Mono,20,18731,2,4,5,0,9
Monterey,170,442611,17,42,23,4,84
Napa,31,128983,4,7,2,1,17
Nevada,30,95559,1,7,8,2,12
Orange,40,3195121,0,3,0,14,23
Placer,57,417911,0,1,4,3,49
Plumas,27,24736,2,3,4,0,18
Riverside,97,2583160,10,16,15,11,45
Sacramento,73,1614445,3,18,10,4,38
San Benito,36,65292,5,10,4,1,16
San Bernardino,152,2481872,21,19,21,13,78
San Diego,87,3496442,21,10,9,11,36
San Francisco,5,856393,0,1,0,2,2
San Joaquin,116,746269,9,35,24,4,44
San Luis Obispo,80,272034,8,10,12,5,45
San Mateo,37,774885,5,6,1,2,23
Santa Barbara,66,465283,4,10,9,3,40
Santa Clara,75,2069772,6,4,6,6,53
Santa Cruz,58,255663,6,11,13,0,28
Shasta,73,172992,1,7,8,1,56
Sierra,8,3530,0,2,3,0,3
Siskiyou,39,29208,3,8,4,0,24
Solano,25,458082,0,3,7,4,11
Sonoma,154,447634,15,19,15,5,100
Stanislaus,76,492528,17,13,14,4,28
Sutter,17,84623,3,6,0,2,6
Tehama,64,39889,3,13,16,3,29
Trinity,20,9896,2,2,2,0,14
Tulare,117,413691,30,33,17,3,34
Tuolumne,53,64493,6,9,5,0,33
Ventura,73,876056,7,12,8,5,41
Yolo,24,249785,3,7,2,2,10
Yuba,29,77511,4,4,4,0,17
